preprocessing,feature_type,classifier,params,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,params_str
psd_scaler,psd,svm,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.7884674063631841,0.13758253318745012,0.6734043349694436,0.13417975013389738,0.7791329886406859,0.13570756770381368,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_scaler,psd,svm,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.7862274206459261,0.14019354800857303,0.6716468403533001,0.1350764184384636,0.7769849758948066,0.13869625930515894,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_scaler,psd,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7901258470935577,0.13228614252374943,0.6777461364546842,0.1317310868318214,0.7822643105293092,0.12912361961364185,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_scaler,psd,svm,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7880843317646993,0.1396514533432345,0.6751331921279646,0.13459618077750216,0.779455646623651,0.13802901648813987,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_scaler,psd,svm,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7882135937269253,0.13653144034283,0.6764508511396449,0.13523924243409707,0.7805798454269746,0.1346181532409091,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_scaler,psd,svm,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7842924315568264,0.1429053513805146,0.6719918765275158,0.13619697621591823,0.7762985099823023,0.14310900261906406,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca10,psd,knn,{'n_neighbors': 3},0.7132471836792078,0.135804950320002,0.5962162625020652,0.1274761673604931,0.708393234148467,0.14596427275375634,{'n_neighbors': 3}
psd_pca10,psd,knn,{'n_neighbors': 5},0.7254837506629758,0.13711498999432617,0.6061137753865237,0.12891797303507804,0.7179224107290437,0.1454837783448411,{'n_neighbors': 5}
psd_pca10,psd,knn,{'n_neighbors': 7},0.7340193714815891,0.14051494708978565,0.6137279346437556,0.13058067833236048,0.7245725880375147,0.14913727533374763,{'n_neighbors': 7}
psd_pca10,psd,knn,{'n_neighbors': 9},0.7392766383620545,0.14247641366674943,0.6184197340870566,0.1305241811553115,0.7290683938754448,0.15059259264117597,{'n_neighbors': 9}
psd_pca10,psd,logreg,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7472078121765316,0.14024914280950632,0.6215834255929527,0.15052812939619667,0.7386658702515638,0.14462073119078772,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}"
